ylat,xlong,p_area,p_cap_ac
37.0711,-106.0052,11766,1.2
27.2197,-80.741,1240151,74.5
27.6396,-81.9374,1008113,74.9
42.5624,-72.5887,84871,4.5
44.6563,-93.1114,15489,1
45.0854,-94.2137,75336,4
44.1975,-93.6136,28166,1
44.1114,-92.747,30598,1
41.7754,-74.7747,36604,2
41.7748,-75.0339,21297,1.4
44.9327,-73.6712,42201,2
42.8263,-74.0593,39588,2
42.9132,-73.601,41142,2
42.7662,-77.3433,38735,2
42.9855,-78.2895,45878,4
41.6154,-71.566,91144,6.7
41.4585,-71.7057,71151,4.5
37.1907,-105.9847,41143,1.5
41.9948,-72.5254,74870,4
46.9167,-67.8564,71837,3.8
46.9261,-67.8329,59920,2.9
44.2502,-93.2696,24608,1
44.9533,-95.7005,30459,1
41.4567,-96.0048,127731,5
42.6081,-76.1327,108889,5
45.4381,-94.0452,109992,5
44.9499,-95.497,47637,1.8
42.3336,-71.9918,16069,1
35.7592,-119.3484,20734,1
39.8432,-111.8893,1994937,80
42.9144,-77.4534,29252,1.2
38.9157,-76.9171,12671,1.9
44.4863,-121.2482,47826,2.9
44.6288,-123.0201,46285,2.9
45.0278,-123.0939,38826,3
45.1265,-122.6077,43595,2.5
45.6613,-93.9422,27950,2
37.5719,-106.0998,42773,1.6
42.8981,-77.4595,43083,2.3
42.259,-72.0174,45190,2.3
39.5631,-77.1618,32403,2
45.4927,-92.8663,16126,1
41.6792,-70.8948,51389,2.5
41.6635,-70.3998,54977,5
36.3614,-119.392,30878,2.5
27.7858,-82.3903,334486,19
29.1121,-96.5242,3096642,150.5
34.0609,-93.0839,94256,5
40.3363,-104.8843,105098,5
42.012,-73.3466,36266,2
34.4431,-84.7094,67065,3
42.4641,-88.2797,46070,2
42.4666,-88.5981,52760,2
41.3902,-87.5958,45374,2
38.5803,-89.6896,95389,2
38.578,-89.6998,92203,2
39.5597,-89.2712,96477,5
38.5049,-89.1471,36227,2
38.1792,-88.1707,1318767,150
39.9801,-90.4812,4182728,150
41.7744,-89.7869,32610,5
42.4521,-70.9682,22793,1.5
42.4254,-72.5185,71899,5
42.1582,-73.2894,66063,5
42.1623,-72.8513,52048,3
39.16,-76.7862,68280,1.5
44.1823,-70.5098,43952,5
44.2814,-70.5253,46435,4
44.3474,-70.1306,354643,20
45.0861,-94.1821,48779,1
35.742,-80.2924,290262,4.5
40.5294,-74.3882,40079,2.5
39.9078,-74.23,37111,4
39.9065,-74.2275,72678,4
44.3488,-75.4855,78088,5
42.6594,-76.9278,73111,5
41.4073,-74.5852,38928,2
43.0691,-75.9445,97735,5
42.7937,-77.5264,95268,5
42.9782,-77.8749,59898,5
43.5241,-76.1586,90286,5
43.2732,-73.5225,99363,5
43.2778,-73.523,101762,5
44.6162,-75.4463,97382,5
43.8641,-73.4478,93856,5
43.8522,-73.4488,94580,5
43.8974,-73.4229,47061,2.5
34.6827,-96.7692,111694,5
36.9772,-82.5241,38942,3
36.5945,-77.6715,1099899,80
34.2158,-118.5004,21593,2.5
45.0202,-123.0981,39623,2.5
44.036,-117.0036,68579,3
33.9304,-93.857,49743,2
41.9782,-72.5391,28985,2
32.9959,-82.7326,3240337,150
30.8679,-84.4248,4153142,200
31.4937,-83.4965,69096,3
43.2745,-91.941,35802,1.5
42.3886,-89.4835,166801,5
40.9354,-88.6412,140878,5
41.7674,-89.8587,38613,2
41.9944,-90.1131,35933,1.5
41.2599,-89.2133,37949,2
42.2327,-89.0272,21832,2
46.7734,-67.8521,97376,5
46.6368,-68.3903,51039,2.5
43.9916,-84.5194,453213,20
42.3904,-84.4891,180619,10
40.6632,-74.1678,18428,1.5
40.7388,-74.138,26395,2
43.8688,-73.4342,107849,5
37.9585,-76.819,116362,5
45.4784,-92.3692,46400,2
35.0487,-119.1808,15670,2.5
41.2621,-89.2134,38672,2
27.6637,-82.2822,1464532,74.5
42.2976,-84.7507,4735016,149
36.5361,-77.7661,1681058,120
31.0289,-102.4841,5576807,306
35.1991,-106.8455,8163200,300
35.526,-81.2351,85746,5
35.4388,-77.8636,94069,5
40.5268,-74.4278,18090,1.5
34.6506,-118.0519,46327,1.5
43.4222,-70.7277,316514,5
39.8998,-76.8234,345306,20
44.8391,-69.3061,76962,5
35.7785,-81.1767,109744,5
42.932,-78.5649,39170,2
35.8358,-77.2666,81624,5
36.7309,-79.5095,248160,5
30.8152,-83.2589,63898,3
42.4619,-88.9993,22277,1.5
41.7674,-89.8609,45210,2
40.7666,-90.0074,36437,2
38.6246,-90.0869,39777,2
42.1774,-71.9974,17080,1
44.9486,-69.652,66390,5
44.4501,-69.7268,20356,1.5
44.2776,-69.7547,65518,5
44.8382,-69.8845,65741,4
43.5522,-92.3567,1019882,45
40.3974,-74.4497,18814,1.5
40.5247,-74.4711,23167,1.5
43.2076,-78.9042,80490,5
42.9521,-77.6998,90421,5
45.9379,-111.4604,79815,2
42.6582,-77.8581,3140017,177
27.2436,-80.6719,1050633,74.5
36.3059,-76.9951,153138,5
35.3317,-77.6663,101427,5
35.8277,-77.4577,156821,5
43.341,-70.7292,101915,5
40.0774,-109.2914,234881,12.5
36.7094,-86.5498,80746,2.5
39.7896,-83.3424,9492783,577
35.2614,-119.1475,59527,2
39.654,-104.5312,35905,1.5
35.0221,-80.0961,117893,5
42.8353,-73.9481,72919,5
36.3165,-76.9942,86149,17
43.0707,-75.5404,68571,4
38.5015,-121.693,41431,2.5
37.8877,-78.3181,71111,5
36.4311,-120.0125,15843,1
40.4698,-104.6533,106518,5
41.3435,-73.0606,11194,1
41.3427,-73.0615,10646,1
41.5206,-72.9046,25157,2
42.434,-89.9033,43105,2
42.4321,-89.904,43673,2
38.637,-89.1114,18997,1
38.5879,-89.8098,88734,5
41.5638,-89.494,115903,5
38.5081,-89.1471,41042,2
38.5931,-89.2748,34084,2
39.5748,-87.695,86854,4
40.6222,-89.6793,47065,2
39.6077,-87.7295,12383,2
41.4689,-87.7391,38574,2
42.4412,-88.3027,51574,2
40.6808,-89.585,7908,1
41.9278,-87.7893,7318,1
41.6726,-88.0616,7589,1
42.4821,-89.9938,124859,2
39.2504,-87.4341,8639443,250
41.2051,-86.9594,8272935,435
38.3066,-87.5193,2248791,200
38.8946,-98.7824,489305,20
37.2615,-98.4908,4053532,189
39.0864,-96.8002,12972,1
37.6718,-87.5595,6523668,160
37.9148,-86.2479,301111,200
30.8052,-90.5498,2084200,100
41.9645,-70.7852,45891,5
38.6177,-75.8892,52016,2
39.1853,-76.9237,34812,2
38.3871,-75.4153,44630,2
39.3822,-79.3657,41401,2
39.3874,-79.3858,41468,2
39.6675,-75.861,55025,4
43.8566,-84.7517,47322,2
43.1929,-84.5198,1944104,100
42.0702,-85.0954,3147341,150
41.8724,-85.07,7008408,150
43.9928,-96.337,24362,1
44.3389,-91.999,41908,1
44.3494,-92.0051,30410,1
45.4203,-94.0303,158266,1
44.364,-92.0267,22023,1
44.786,-95.4816,52671,1
44.4742,-93.2186,48740,1
44.5384,-94.8972,26591,1
43.9779,-95.9117,24140,1
40.1234,-92.5457,3590661,250
43.3289,-78.0701,194287,5
42.1542,-79.6055,60145,5
42.1528,-77.8055,73066,5
41.5618,-74.1416,30813,2
42.9917,-74.3143,94194,5
42.9926,-74.3106,91828,5
43.357,-73.5664,255750,5
42.6812,-78.9525,59055,4
42.9637,-74.3798,84659,5
43.8047,-76.0335,94398,5
42.9645,-77.1127,80632,5
41.7388,-74.7369,75836,4
40.6782,-83.8235,6292810,250
39.3837,-83.401,934420,45
41.3385,-82.8273,2124588,125
39.586,-83.1642,2958336,100
39.551,-83.1861,1267633,100
45.2965,-122.5115,32948,2
30.9038,-97.0566,596296,40
32.8314,-97.3494,39211,4
31.15,-97.2227,4186986,200
30.5995,-97.1563,799575,50
42.7626,-88.0608,119828,6
37.7698,-121.9664,18134,1
33.8378,-118.2266,1859,1
35.1312,-119.2634,3426361,150
34.8399,-118.3643,1355819,140
37.0026,-120.6379,43581,3
36.6039,-120.4014,4140281,200
35.932,-119.8597,85635,3
38.2922,-120.9191,11614,1
33.3829,-112.7927,4868585,300
32.6283,-114.4287,1484963,70
40.3179,-104.889,106141,5
40.3142,-104.7707,118858,5
43.2914,-116.0039,6742938,200
35.261,-106.8613,2702969,140
36.7896,-114.1375,32584,3
36.8906,-114.0807,2873785,185
42.1537,-123.6247,50417,3
31.5181,-100.5773,4362118,195
43.4494,-84.6985,1609865,80
36.2506,-107.3249,2630512,140
34.9689,-80.0517,107134,5
39.8044,-104.6171,74441,1.5
36.0505,-119.3059,36852,2.1
41.7702,-70.5743,123113,4.3
36.0461,-119.3194,102553,4.2
38.2105,-89.8449,1284314,68.4
41.0204,-73.7581,9816,1.2
39.0638,-89.3874,874558,44.2
36.1599,-94.0511,48537,2.9
31.4996,-83.513,66327,2.9
34.4379,-84.7045,45729,2.4
34.4997,-85.4509,50624,2.4
38.8819,-76.706,36121,1.6
44.4014,-68.9959,115234,4.8
43.3775,-70.9414,83184,3.8
42.6593,-76.9345,68283,4.6
42.5022,-79.2779,69694,4.6
42.8301,-75.8245,48966,4.7
42.485,-78.4987,49714,2.3
39.601,-84.2057,31606,1.1
42.422,-123.0091,24762,1.4
40.1908,-79.3238,246368,13.8
40.5673,-75.6004,30075,2.8
43.9487,-89.6819,147942,8.3
38.5536,-121.4226,21038,1.3
40.5662,-74.2176,15781,1.4
40.0206,-74.2499,61056,4.2
37.5537,-79.0172,84810,4.9
43.4351,-88.1751,28292,1.9
43.4329,-88.1633,42580,2.3
33.4176,-112.177,53373,2.9
45.1263,-122.5581,22353,1.3
36.9871,-121.9238,26658,2.4
42.313,-72.9513,82071,4.8
35.2164,-77.4997,85195,4.9
34.9964,-77.2197,89732,5
36.3486,-77.6323,85223,5
33.818,-118.1421,22656,1.8
44.3147,-69.81,33823,2.2
43.3271,-70.6347,90420,4.8
46.694,-67.9695,58801,2.8
41.6133,-71.1584,152296,11.8
36.3004,-119.8216,81994,7.9
40.0483,-105.1805,24632,0.9
41.0654,-73.8212,18138,2.1
40.8592,-74.2987,17944,1.5
41.7308,-112.1794,45798,3.1
36.4601,-78.9567,108724,5
41.9621,-70.9778,57113,3
31.0273,-83.0551,45298,1.8
39.5509,-74.6282,15652,1.6
39.8532,-86.0145,18047,1.9
44.6525,-70.1562,68360,4.9
39.7874,-104.5861,36898,1.2
31.0751,-83.5988,496103,20
34.273,-79.8805,42048,2
33.6678,-78.918,31485,1.6
36.8478,-76.4072,16622,1
38.5245,-121.9941,57060,3
44.967,-122.9579,36576,2.2
40.8947,-86.8088,3100409,200
37.7749,-84.7191,150349,10
42.2524,-73.3345,28364,2
42.5027,-73.2278,77503,4.5
42.6082,-73.135,58367,5
42.1092,-70.8651,14342,1
42.492,-73.2193,101718,4.5
44.4671,-95.7799,186510,10
35.0965,-78.8323,14603,1
31.453,-96.8581,3237273,150
41.7166,-70.4794,44482,2
42.1119,-71.6486,48984,5
42.1117,-71.6459,31818,5
41.5348,-74.3252,35984,2
42.4939,-72.6226,46965,2
37.3748,-121.1459,1316848,20
33.3122,-112.8016,8226900,215
42.2045,-114.6077,2460516,100
41.0068,-73.7575,16355,2
36.08,-94.066,93359,5
41.3764,-74.3916,82371,5
41.4248,-74.3642,37683,2
36.9465,-120.0776,44354,3
